PartitionKey,RowKey,Timestamp,DeepLink,DeepLink@type,IsDeleted,IsDeleted@type,Name,Name@type,Type,Type@type,GroupType,GroupType@type,ImgUrl,ImgUrl@type,ChildPartitionKey,ChildPartitionKey@type,ChildRowKey,ChildRowKey@type,ParentPartitionKey,ParentPartitionKey@type,ParentRowKey,ParentRowKey@type,ResourceType,ResourceType@type,Department,Department@type,Mail,Mail@type,Surname,Surname@type,UserType,UserType@type
Application,1078,2021-01-12T17:32:29.176Z,https://luigi.biz/frame,Edm.String,false,Edm.Boolean,Cheese 1c07cd9e-1a33-4064-9cb8-1fea18093740,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1093,2021-01-12T17:32:29.373Z,https://elsie.org/river/user-facing,Edm.String,false,Edm.Boolean,Hat 5df2f3a7-605b-4fe1-a845-84afaa4100bb,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1103,2021-01-12T17:32:29.566Z,http://myrtle.biz/invoice/explicit,Edm.String,false,Edm.Boolean,Tuna 831bb2f0-de4d-4c8f-9f27-8a15dab37b78,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1117,2021-01-12T17:32:29.759Z,http://kelsie.net/beauty-shoes--garden,Edm.String,false,Edm.Boolean,Fish da017400-26b4-4279-8f9f-81e315899d9d,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1128,2021-01-12T17:32:29.956Z,http://lacy.name/hack/credit-card-account/http,Edm.String,false,Edm.Boolean,Chair 72894478-6ab9-4125-997e-520203165e1b,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1139,2021-01-12T17:32:30.152Z,https://creola.biz/backing-up/override,Edm.String,false,Edm.Boolean,Fish 920ec108-9f22-47c6-851b-e623271c8f8d,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1153,2021-01-12T17:32:30.346Z,http://randall.biz/intelligent-fresh-tuna/holistic/kwanza,Edm.String,false,Edm.Boolean,Chair b3f1fa4a-8a2d-4250-bdfe-1bbd516c1825,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1165,2021-01-12T17:32:30.540Z,https://emmanuel.org/coordinator/mount/online,Edm.String,false,Edm.Boolean,Bike 347d7811-a33f-48ae-817e-f962456f8c1f,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1179,2021-01-12T17:32:30.745Z,https://devin.name/functionality/incremental,Edm.String,false,Edm.Boolean,Salad dfa6a579-9491-4a0d-89eb-09a139467389,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1192,2021-01-12T17:32:30.944Z,https://luna.info/rubber/mobile/wooden,Edm.String,false,Edm.Boolean,Shirt a417248f-a731-4adf-9880-5eb9050434e0,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1206,2021-01-12T17:32:31.140Z,https://grayce.biz/functionality/money-market-account,Edm.String,false,Edm.Boolean,Chair b31ecd05-b57e-4b70-af03-aae756b966a5,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1216,2021-01-12T17:32:31.333Z,https://katelin.com/collaboration,Edm.String,false,Edm.Boolean,Ball d8334f01-136c-4c79-9296-4510a8252824,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1227,2021-01-12T17:32:31.529Z,http://savion.org/team-oriented/initiatives/redundant,Edm.String,false,Edm.Boolean,Cheese 6797c715-d4f0-470b-82ef-de15af14956d,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1240,2021-01-12T17:32:31.727Z,https://reynold.biz/lock/directives,Edm.String,false,Edm.Boolean,Pants 9c6ffc0c-2336-4e5c-8ce4-f6fa5794ed36,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1253,2021-01-12T17:32:31.921Z,https://keshaun.org/inlet/evolve,Edm.String,false,Edm.Boolean,Pizza 3df26fe8-ff0e-4faf-99f9-74973b68df08,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
Application,1268,2021-01-12T17:32:32.115Z,https://westley.org/handcrafted-frozen-hat/data,Edm.String,false,Edm.Boolean,Chicken f472d056-c10a-40e8-b152-37cf894527be,Edm.String,Application,Edm.String,,,,,,,,,,,,,,,,,,,,,,
